file,kind,ref
scripts/active/fix_imports.py,Path(),src/core
scripts/active/fix_imports.py,Path(),src/advanced
scripts/active/fix_imports.py,literal_path,src/advanced
scripts/active/integrate_screenplay_library.py,Path(),digilibrary/BIBLIOTECA_ROTEIROS
scripts/active/meta_learning_framework.py,Path(),data/meta_patterns
scripts/active/meta_learning_framework.py,Path(),data/meta_patterns/evolution_log.json
scripts/active/meta_learning_framework.py,Path(),data/meta_patterns/pending_suggestions.json
scripts/active/meta_learning_framework.py,literal_path,data/meta_patterns/evolution_log.json
scripts/archive/add_unified_imports.py,Path(),src
scripts/archive/deep_structure_analysis.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion
scripts/archive/deep_structure_analysis.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion
scripts/archive/final_reorganization.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion
scripts/archive/final_reorganization.py,Path(),/Users/clubproducoes/Digimundo/Pre_Limpeza_Minimalista_Lixo/claude_code_lixo/final_reorganization_backup
scripts/archive/final_reorganization.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion
scripts/archive/final_reorganization.py,literal_path,/Users/clubproducoes/Digimundo/Pre_Limpeza_Minimalista_Lixo/claude_code_lixo/final_reorganization_backup
scripts/archive/list_ollama_configs.py,Path(),data/models/modelfiles
scripts/archive/quick_screenplay_learning.py,Path(),digilibrary/BIBLIOTECA_ROTEIROS/roteiros_mestres
scripts/cleanup_and_optimize.py,Path(),scripts/active
scripts/cleanup_and_optimize.py,Path(),scripts/archive/70b_deprecated
scripts/cleanup_and_optimize.py,Path(),scripts/archive/mixtral_duplicates
scripts/cleanup_and_optimize.py,Path(),data/unified_memory.db
scripts/cleanup_and_optimize.py,Path(),scripts/archive
scripts/deep_system_analysis.py,Path(),digilibrary/BIBLIOTECA_ROTEIROS
scripts/deep_system_analysis.py,Path(),data/models/modelfiles
scripts/deep_system_analysis.py,Path(),scripts/active
scripts/deep_system_analysis.py,Path(),data/unified_memory.db
scripts/deep_system_analysis.py,Path(),data
scripts/deep_system_analysis.py,literal_path,scripts/active/mixtral_enhanced_master.py
scripts/deep_system_analysis.py,literal_path,scripts/active/mixtral_primary_system.py
scripts/deep_system_analysis.py,literal_path,scripts/active/launch_mixtral_enhanced_automatic.py
scripts/rename_all_files.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
scripts/rename_all_files.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
src/core/START_CLAUDE_SESSION.py,open(),COMPLETE_SYSTEM_MAP.json
src/core/START_CLAUDE_SESSION.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion
src/core/START_CLAUDE_SESSION.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion/.claude_session
src/core/START_CLAUDE_SESSION.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion
src/core/START_CLAUDE_SESSION.py,literal_path,../REDUNDANCY_ROOT_CAUSE_ANALYSIS.md
src/core/START_CLAUDE_SESSION.py,literal_path,../DEPLOYMENT_SYSTEM_ANALYSIS.md
src/core/START_CLAUDE_SESSION.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion/.claude_session
src/core/import_checker_minimal.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion
src/core/omnimemory_v5_minimal.py,literal_path,data/omnimemory_v5.db
src/core/screenplay_library.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
src/core/screenplay_library.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
src/core/screenplay_library_simple.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
src/core/screenplay_library_simple.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
src/core/scripturemon_start.py,Path(),/Users/clubproducoes/Digimundo/Respostas_testes
src/core/scripturemon_start.py,literal_path,/Users/clubproducoes/Digimundo/Respostas_testes
src/core/unified_memory_system.py,Path(),data
src/features/cinema_deep_reflection_system.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
src/features/cinema_deep_reflection_system.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion/knowledge
src/features/cinema_deep_reflection_system.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
src/features/cinema_deep_reflection_system.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion/knowledge
src/features/cinema_rag_llm_system.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
src/features/cinema_rag_llm_system.py,Path(),/Users/clubproducoes/Digimundo/scripturemon-champion/data
src/features/cinema_rag_llm_system.py,literal_path,/Users/clubproducoes/Digimundo/scripturemon-champion/digilibrary/BIBLIOTECA_ROTEIROS
